축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물판매업,(주)서진리테일,축산물유통전문판매업,,185292.76664368,450863.026923918,2026-05-15 03:03:03,U,0000,정상,2026-05-14 11:37:53,,2023-06-23,11,,서울특별시 강서구 마곡동 797-7 퀸즈파크텐 A동 505호 일부,축산물유통전문판매업,315000000920230029,3150000,L00,"서울특별시 강서구 마곡중앙6로 66, 퀸즈파크텐 A동 505호 일부호 (마곡동)",07803,,01,영업/정상,,,
,축산물판매업,주식회사 도드람에프씨,축산물유통전문판매업,,244505.881766552,415609.43561221,2026-05-15 03:03:03,U,0000,정상,2026-05-14 11:20:06,,2021-11-18,24.3,,경기도 이천시 부발읍 가산리 500-2,축산물유통전문판매업,407000000920210016,4070000,L00,경기도 이천시 부발읍 경충대로 1917,17405,,01,영업/정상,,,031-636-0780
,축산물판매업,주식회사 더블원푸드,식육판매업,2026-05-14,216846.891263183,452760.863180903,2026-05-15 03:03:03,U,0005,전출폐업,2026-05-14 10:19:21,,2024-05-01,34.86,,경기도 하남시 망월동 834 미사강변 스카이폴리스,식육판매업,404000000920240014,4040000,000,"경기도 하남시 미사강변한강로 135, 미사강변 스카이폴리스 가동 2층 206호 (망월동)",12902,,05,제외/삭제/전출,,,
,축산물판매업,제주촌,식육판매업,,186236.281118291,452133.277893616,2026-05-15 03:03:03,U,0000,정상,2026-05-14 16:16:50,,2003-07-19,26.4,,서울특별시 강서구 가양동 1460,식육판매업,315000000920030052,3150000,000,"서울특별시 강서구 허준로 23 (가양동, 한강타운상가 지하23호)",07524,,01,영업/정상,,,02-2659-7537
,축산물판매업,삼일종합유통,식육판매업,,203556.370097809,451853.45737843,2026-05-15 03:03:03,U,0000,정상,2026-05-14 13:35:37,,2001-12-12,0,,서울특별시 성동구 마장동 766-8,식육판매업,303000000920010180,3030000,000,서울특별시 성동구 마장로37길 40 (마장동),04753,,01,영업/정상,,,
,축산물판매업,(주)바른축산,축산물유통전문판매업,,202048.058885549,414633.446120772,2026-05-15 03:03:03,U,0000,정상,2026-05-14 09:14:49,,2025-11-06,140,,경기도 수원시 권선구 곡반정동 609-1,축산물유통전문판매업,374000000920250075,3740000,L00,"경기도 수원시 권선구 곡반정로13번길 16-30, 1층 (곡반정동)",16672,,01,영업/정상,,,031-232-1057
,축산물판매업,갤럭틱그릴스,식육판매업,2026-05-14,,,2026-05-15 03:03:03,U,0002,폐업,2026-05-14 13:50:37,,2024-07-26,19.8,,강원특별자치도 원주시 판부면 서곡리 1149-12,식육판매업,419100000920240020,4191000,L00,강원특별자치도 원주시 판부면 서곡길 305,26402,,03,폐업,,,
,축산물판매업,홈플러스 킨텍스점,식육판매업,,178006.080301401,462865.812502378,2026-05-15 03:03:03,U,0001,휴업,2026-05-14 16:14:31,,2010-08-17,137.71,,경기도 고양시 일산서구 대화동 2602,식육판매업,394000000920100072,3940000,L00,경기도 고양시 일산서구 호수로 817 (대화동),,,02,휴업,2026-05-14,2027-05-13,031-960-7123
,축산물판매업,비전축산,식육판매업,2026-05-14,176977.522217005,448321.566053257,2026-05-15 03:03:03,U,0002,폐업,2026-05-14 15:47:17,,2011-12-28,30.81,,인천광역시 계양구 계산동 1084-2 삼보아파트 상가 가동 104호,식육판매업,355000000920110052,3550000,000,"인천광역시 계양구 계산새로 108, 가동 104호 (계산동, 은행마을강북.삼보아파트)",21070,,03,폐업,,,
,축산물판매업,(주)365위더스,축산물유통전문판매업,,189459.065518928,441844.960857588,2026-05-15 03:03:03,U,0000,정상,2026-05-14 15:03:35,,2021-07-26,46.75,,서울특별시 금천구 가산동 371-59 신한이노플렉스 305씨-호,축산물유통전문판매업,317000000920230032,3170000,L00,"서울특별시 금천구 가산디지털1로 149, 신한이노플렉스 3층 305씨-7호 (가산동)",08506,,01,영업/정상,,,02-851-9861
,축산물판매업,주식회사 바른축산,식육판매업,,202048.058885549,414633.446120772,2026-05-15 03:03:03,U,0000,정상,2026-05-14 09:10:25,,2015-04-10,140,,경기도 수원시 권선구 곡반정동 609-1,식육판매업,374000000920150055,3740000,L00,경기도 수원시 권선구 곡반정로13번길 16-30 (곡반정동),16672,,01,영업/정상,,,
,축산물판매업,(주)풀무원헬스케어,우유류판매업,,189863.598209033,441870.90420315,2026-05-15 03:03:03,U,0000,정상,2026-05-14 14:03:49,,2023-09-19,53.12,,서울특별시 금천구 가산동 60-21 IT미래TOWER 103호,우유류판매업,317000000920230019,3170000,L00,"서울특별시 금천구 디지털로9길 33, IT미래TOWER 1층 103호 (가산동)",08511,,01,영업/정상,,,02-867-9333
,축산물판매업,주식회사 맛집,축산물유통전문판매업,,187048.161511426,451115.773002543,2026-05-15 03:03:03,U,0000,정상,2026-05-14 10:17:42,,2024-02-07,6.04,,서울특별시 강서구 가양동 14-3 가양우성아파트 상가동 지하층 15호,축산물유통전문판매업,315000000920240004,3150000,L00,"서울특별시 강서구 양천로 489, 상가동 지하층 15호 (가양동, 가양우성아파트)",07526,,01,영업/정상,,,02-2637-0927
,축산물판매업,주식회사 리치포크,축산물유통전문판매업,,171280.460811342,425101.57438579,2026-05-15 03:03:03,U,0000,정상,2026-05-14 15:21:55,,2024-04-05,73.95,,경기도 시흥시 정왕동 2703 퍼스트에비뉴2차,축산물유통전문판매업,401000000920240021,4010000,L00,"경기도 시흥시 거북섬2길 25, 퍼스트에비뉴2차 5층 502호 (정왕동)",15119,,01,영업/정상,,,
,축산물판매업,우리들축산,식육판매업,2026-05-14,186185.872488009,422633.059775794,2026-05-15 03:03:03,U,0002,폐업,2026-05-14 15:57:34,,2008-05-06,133.25,,경기도 안산시 상록구 사동 1528-10 1층,식육판매업,555000000920080019,3930000,L00,"경기도 안산시 상록구 천문2길 4-1 (사동,1층)",,,03,폐업,,,031-501-2568
,축산물판매업,주식회사 드림앤미트,식육판매업,,220028.444704043,454266.587551865,2026-05-15 03:03:03,U,0000,정상,2026-05-14 09:11:22,,2021-04-22,31.2,,경기도 남양주시 와부읍 월문리 1052-7,식육판매업,399000000920210035,3990000,L00,"경기도 남양주시 와부읍 석실로 185-31, 1층",12203,,01,영업/정상,,,
